sentence_id,text,source,vector
1,"Chambord, Lac—St-Jean.",signes.txt,
2,Page web dans Les Classiques des sciences sociales.,signes.txt,
3,"Jean-Marie Tremblay, sociologue.",signes.txt,
4,Classiques.,signes.txt,
5,"Les Classiques des sciences sociales sont la propriété des Classi- ques des sciences sociales, un organisme à but non lucratif com-posé exclusivement de bénévoles.",signes.txt,
6,"Ils sont disponibles pour une utilisation intellectuelle et personnel- le et, en aucun cas, commerciale.",signes.txt,
7,Toute utilisation à des fins com- merciales des fichiers sur ce site est strictement interdite et touterediffusion est également strictement interdite.,signes.txt,
8,L'accès à notre travail est libre et gratuit à tous les utilisa- teurs.,signes.txt,
9,C'est notre mission.,signes.txt,
10,LES CLASSIQUES DES SCIENCES SOCIALES.,signes.txt,
11,Ce livre est du domaine public au Canada parce qu’une œuvre passe au domaine public 50 ans après la mort del’auteur(e).,signes.txt,
12,Cette œuvre n’est pas dans le domaine public dans les pays où il faut attendre 70 ans après la mort de l’auteur(e).,signes.txt,
13,Respectez la loi des droits d’auteur de votre pays.,signes.txt,
14,SIGNES.,signes.txt,
15,"Paris : Les Éditions Gallimard, 1960, 438 pp. Collection NRF.",signes.txt,
16,"Pour le texte: Times New Roman, 12 points.",signes.txt,
17,"Pour les citations : Times New Roman, 12 points.",signes.txt,
18,"Pour les notes de bas de page : Times New Roman, 10 points.",signes.txt,
19,Macintosh.,signes.txt,
20,"Mise en page sur papier format : LETTRE US, 8.5’’ x 11’’.",signes.txt,
21,"Saguenay, Québec.",signes.txt,
22,"Paris : Les Éditions Gallimard, 1960, 438 pp. Collection NRF.",signes.txt,
23,PHÉNOMÉNOLOGIE DE LA PERCEPTION.,signes.txt,
24,HUMANISME ET TERREUR (essai sur le problème communis- te).,signes.txt,
25,France le jeudi 15 janvier 1953).,signes.txt,
26,LES AVENTURES DE LA DIALECTIQUE.,signes.txt,
27,L'ŒIL ET L'ESPRIT.,signes.txt,
28,SIGNES.,signes.txt,
29,LE VISIBLE ET L'INVISIBLE (suivi de notes de travail).,signes.txt,
30,ÉLOGE DE LA PHILOSOPHIE et autres essais.,signes.txt,
31,RÉSUMÉS DE COURS. Collège de France 1952-1960.,signes.txt,
32,France).,signes.txt,
33,SENS ET NON-SENS (Éditions Nagel).,signes.txt,
34,III. L'U.,signes.txt,
35,R.,signes.txt,
36,"Signes, c'est-à-dire non pas un alphabet complet, et pas même un discours suivi.",signes.txt,
37,"Mais plutôt de ces signaux soudains comme un regard que nous recevons des événements, des livres et des choses.",signes.txt,
38,"Ou qu'il nous semble recevoir d'eux : il faut croire que nous y mettons du nô- tre, puisqu'il y a des constantes dans ces messages.",signes.txt,
39,"En philosophie, l'idée d'une vision, d'une parole opérante, d'une opération métaphysique de la chair, d'unéchange où le visible et l'invisible sont rigoureusement simultanés.",signes.txt,
40,"« guerre absolue » de Clausewitz, à une politique réelle qui, comme sa « guerre réelle », en reste souvent au meurtre symbolique.",signes.txt,
41,"Si l'auteur a bien lu, ces signes, donc, ne seraient pas de si mauvais augure.",signes.txt,
42,"En philosophie, le chemin peut être difficile, on est sûr que chaque pas en rend possibles d'autres.",signes.txt,
43,"En politique, on a l'accablante impression d'une percée toujours à refaire.",signes.txt,
44,"Nous ne parlons même pas des hasards et de l'imprévu : le lec- teur trouvera ici quelques erreurs de pronostic ; franchement, il en trouvera moinsqu'il n'était à craindre.",signes.txt,
45,"« dépassements », à ramener les formules et les rôles du répertoire, et à nous persuader en somme qu'il ne se passerien.",signes.txt,
46,"Maurras disait qu'il avait connu en politique des évidences, en philosophie pure jamais.",signes.txt,
47,"C'est qu'il ne regardait qu'à l'histoire révolue, et rêvait d'une philoso- phie elle aussi établie.",signes.txt,
48,"Si on les prend en train de se faire, on verra que la philoso- phie trouve dans l'instant du commencement ses plus sûres évidences et que l'his-toire à l'état naissant est songe ou cauchemar.",signes.txt,
49,"Mais s'il y a des interrogations totales, la réponse, dans sa positivité, ne peut l'être.",signes.txt,
50,"C'est plutôt la question qui s'use, un état sans question qui survient, comme une passion un jour s'arrête, détruite par sa propre durée.",signes.txt,
51,"Ce pays saigné par une guerre ou par une révolution, le voilà soudain intact, entier.",signes.txt,
52,Les morts sont complices de l'apaisement : ce n'est qu'en vivant qu'ils pourraient recréer le manque et le besoin d'eux qui s'effacent.,signes.txt,
53,Dreyfus – et n’en restent pas moins conservateurs.,signes.txt,
54,"Dreyfus n'est pas vengé, pas même réhabilité. Son inno- cence devenue lieu commun ne vaut pas cher au prix de sa honte.",signes.txt,
55,"Elle n'est pas inscrite dans l'histoire au sens où elle lui fut volée, où elle fut revendiquée par sesdéfenseurs.",signes.txt,
56,"À ceux qui ont tout perdu l'histoire ôte encore, et elle donne encore à ceux qui ont tout pris.",signes.txt,
57,"Car la prescription, qui enveloppe tout, innocente l'injuste et déboute les victimes.",signes.txt,
58,L'histoire n'avoue jamais.,signes.txt,
59,"Pour être bien connu, tout cela n'en est pas moins frappant chaque fois qu'on s'y heurte.",signes.txt,
60,La grande affaire du temps va être de réconcilier l'ancien monde et l'autre.,signes.txt,
61,"Peut-être, devant ce problème, l'U.",signes.txt,
62,R.,signes.txt,
63,"S.S. et ses adversaires d'hier sont-ils du même côté, celui de l'ancien monde.",signes.txt,
64,Toujours est-il qu'on proclame la fin de la guerre froide.,signes.txt,
65,"Dans la concurrence pacifique, l'Occident ne peut guère figurer s'il n'invente pas une régulation démocratique de l'économie.",signes.txt,
66,"En fait, c'est dans un désordre extraordinaire que la société industrielle se développe ici.",signes.txt,
67,"Le capitalisme pousse au hasard des rameaux géants, met l'économie d'une nation à la mercid'une industrie dominante qui engorge ses routes et ses villes, détruit les formesclassiques de l'établissement humain...",signes.txt,
68,"À toutes les échelles, d'immenses problè- mes apparaissent : ce ne sont pas seulement des techniques qu'il y a à trouver,mais des formes politiques, des mobiles, un esprit, des raisons de vivre...",signes.txt,
69,"C'est alors qu'une armée longtemps isolée du monde dans la guerre coloniale, et qui y aappris la lutte sociale, retombe de tout son poids sur l'État dont elle est censéedépendre et fait refluer sur un temps qui allait s'en libérer l'idéologie de la guerrefroide.",signes.txt,
70,"Quelqu'un qui a su, il y a vingt ans, juger les [9] « élites » (et notamment les élites militaires) croit maintenant bâtir un pouvoir durable en s'isolant ausommet de l'Etat, et ne le délivre des harcèlements d'assemblée que pour l'exposeraux factions.",signes.txt,
71,"« service inutile »), il sépare l'ambi- tion nationale et ce qu'il appelle le niveau de vie, - comme si aucune nation mûrepouvait accepter ces dilemmes, comme si l'économie dans la société réelle pou-vait jamais être subalterne à la façon de l’Intendance dans la société factice del'armée, comme si le pain et le vin et le travail étaient de soi choses moins graves,choses moins saintes que les livres d'histoire.",signes.txt,
72,"Parce qu'elles risquent de brouiller les frontières du communisme et du capitalisme, l'Église fait de son mieux pour les étouffer, reprend ses interdits ou-bliés, condamne à nouveau le socialisme, si ce n'est la démocratie, tente de réoc-cuper les positions de la religion d'État, réprime partout, et d'abord dans ses pro-pres rangs, l'esprit de recherche et la confiance dans la vérité.",signes.txt,
73,"« révisionnisme », et surtout après Budapest, il faut de bons yeux pour voir que la société soviétique s'engage dans une autre époque, qu'elle liquide,avec le stalinisme, l'esprit de la guerre sociale et s'oriente vers les formes nouvel-les de la puissance.",signes.txt,
74,Cela s’appelle officiellement passage à la phase supérieure du communisme.,signes.txt,
75,"La question des fins n'est pas la vraie question, ni celle du masque et du visage.",signes.txt,
76,Peut-être les des- seins concertés comptent-ils moins que la réalité humaine et le mouvement [10]de l'ensemble.,signes.txt,
77,Peut-être l'U.,signes.txt,
78,R.,signes.txt,
79,S.S. a-t-elle plusieurs visages et l'équivoque est-elle dans les choses.,signes.txt,
80,"Khrouchtchev, de l'humour noir et de la paix chaude sur le théâtre interna- tional.",signes.txt,
81,"Si l'humour est, comme dit Freud, la douceur du surmoi, c'est là peut-être le maximum de détente que tolère le surmoi de l'histoire.",signes.txt,
82,"La politique des philosophes, c'est celle que personne ne fait.",signes.txt,
83,"Ces réflexions sont latentes un peu partout. On les devine chez des lecteurs et des écrivains qui sont ou qui furent marxistes et qui, divisés sur tout le reste, sem-blent d'accord pour constater la séparation de la philosophie et de la politique.",signes.txt,
84,Ils ont plus que personne tenté de vivre sur les deux plans ensemble.,signes.txt,
85,"Leur expérience domine la question, et c'est à travers elle qu'il faudrait la reconsidérer.",signes.txt,
86,"Une chose est sûre d'abord, c'est qu'il y a eu une manie politique chez les phi- losophes qui n'a fait ni de bonne politique ni de bonne philosophie.",signes.txt,
